Date,SF Logo,Other
4/1/13,0,105
3/1/13,0,279
2/1/13,0,230
1/1/13,0,212
12/1/12,0,212
11/1/12,0,475
10/1/12,0,107
9/1/12,0,318
8/1/12,0,276
7/1/12,0,237
6/1/12,0,267
5/1/12,0,213
4/1/12,0,145
3/1/12,0,209
2/1/12,0,79
1/1/12,0,178
12/1/11,0,207
11/1/11,0,135
10/1/11,0,53
9/1/11,0,77
8/1/11,0,74
7/1/11,0,136
6/1/11,0,84
5/1/11,0,99
4/1/11,0,95
3/1/11,0,93
2/1/11,1,95
1/1/11,0,96
12/1/10,0,157
11/1/10,24,215
10/1/10,92,165
9/1/10,50,147
8/1/10,1,102
7/1/10,0,110
6/1/10,0,185
5/1/10,0,458
4/1/10,0,755
3/1/10,1,933
2/1/10,6,772
1/1/10,7,826
12/1/09,1,801
11/1/09,3,454
10/1/09,4,197
9/1/09,6,226
8/1/09,2,126
7/1/09,1,113
6/1/09,1,81
5/1/09,1,29
4/1/09,0,30
3/1/09,6,164
2/1/09,7,64
1/1/09,0,61
12/1/08,1,35
11/1/08,1,34
10/1/08,0,71
9/1/08,0,59
8/1/08,0,30
7/1/08,0,32
6/1/08,0,40
5/1/08,0,103
4/1/08,0,146
,216,"12,507"