Date,Downloads
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,10
2009-02,7
2009-03,19
2009-04,2
2009-05,0
2009-06,3
2009-07,11
2009-08,9
2009-09,6
2009-10,6
2009-11,10
2009-12,16
2010-01,25
2010-02,0
2010-03,3
2010-04,12
2010-05,0
2010-06,7
2010-07,2
2010-08,6
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,4
2011-02,0
2011-03,0
2011-04,5
2011-05,5
2011-06,2
2011-07,4
2011-08,18
2011-09,2
2011-10,4
2011-11,0
2011-12,2
2012-01,6
2012-02,1
2012-03,0
2012-04,0
2012-05,0
2012-06,2
2012-07,2
2012-08,1
2012-09,0
2012-10,0
2012-11,55
2012-12,21
2013-01,16
2013-02,27
2013-03,24
,359